countryListID,countryList
1,"Armenia, Romania, Dominican Republic, Malta, Mozambique"
2,"Saint Lucia, Belgium"
3,"Kiribati, Turkey, Rwanda"
4,"Congo, Democratic Republic of the, Tajikistan, Greece, Bangladesh"
5,"Czech Republic, Norway, Azerbaijan, United Arab Emirates"
6,"San Marino, Guatemala, Jamaica"
7,"Norway, Papua New Guinea, Armenia"
8,Iraq
9,"Kuwait, Vanuatu"
10,Uganda
11,"Guinea, Turkmenistan, Rwanda"
12,"Chad, Bhutan"
13,"Haiti, Ethiopia, The Gambia"
14,"Montenegro, Kiribati"
15,Canada
16,"New Zealand, Haiti, Lebanon, Serbia, Nigeria"
17,Costa Rica
18,"Kosovo, Madagascar, Brunei, Russia"
19,"Uruguay, Bulgaria, Sudan, South"
20,"Serbia, United Kingdom, Nauru"
21,"Vanuatu, Portugal, United States"
22,"Taiwan, Malaysia, Guinea-Bissau, Saudi Arabia"
23,"Slovakia, Burkina Faso, Netherlands"
24,"Bangladesh, Kiribati"
25,Bhutan
26,Peru
27,Zambia
28,"Congo, Republic of the, Sri Lanka"
29,"Mexico, Uruguay, Equatorial Guinea, Philippines, Saint Kitts and Nevis"
30,"South Africa, Mozambique, Nicaragua, Belgium"
31,"Lesotho, Djibouti, Bosnia and Herzegovina"
32,"Iraq, Grenada"
33,"Ecuador, Ghana, The Gambia, Turkey"
34,Marshall Islands
35,"Peru, North Macedonia, Belgium, Samoa, Saint Kitts and Nevis"
36,Bulgaria
37,"North Macedonia, El Salvador"
38,"Suriname, Central African Republic"
39,"Angola, Lesotho"
40,"Poland, El Salvador, Kenya"
41,"Tunisia, Vietnam, Italy"
42,"Mexico, Spain, Cyprus"
43,"Denmark, Seychelles"
44,"Bulgaria, Japan, Russia, Maldives"
45,"Moldova, Tanzania, United Arab Emirates"
46,"Andorra, Tunisia"
47,"Moldova, Peru, Cambodia"
48,"Suriname, Seychelles, Slovenia, Papua New Guinea"
49,"Luxembourg, Japan"
50,"Cuba, Sudan, Somalia"
51,The Gambia
52,"Jamaica, Solomon Islands, Brunei, Singapore"
53,"Vanuatu, Serbia, United Arab Emirates"
54,"Ghana, Cambodia, Bahrain, Hungary, Trinidad and Tobago"
55,"Iceland, Austria, India"
56,"Sierra Leone, Guinea-Bissau, Iceland"
57,Antigua and Barbuda
58,"Laos, Zambia, Marshall Islands, Bosnia and Herzegovina, Niger"
59,"Serbia, Korea, South, Belize, Comoros"
60,"Oman, Canada"
61,"Brazil, Brunei, Saint Kitts and Nevis"
62,"Madagascar, Albania, Chad, Bangladesh, Singapore"
63,"Cameroon, Belize, Finland, Rwanda, Honduras"
64,Montenegro
65,"South Africa, Switzerland"
66,Cyprus
67,"Jamaica, Micronesia, Federated States of"
68,"Finland, Angola, Libya"
69,"Venezuela, Malta, Czech Republic"
70,"Ireland, North Macedonia, Madagascar, Vanuatu, New Zealand"
71,"Nigeria, Guinea, Croatia"
72,"Nicaragua, The Bahamas, Kuwait, Eritrea, Guyana"
73,"Kyrgyzstan, Benin"
74,"Sri Lanka, Lesotho, Zambia, Morocco"
75,"Seychelles, Ireland"
76,"Grenada, Sri Lanka, Djibouti, Saint Vincent and the Grenadines, Georgia"
77,"Tunisia, United Arab Emirates, Vanuatu"
78,Zambia
79,"Egypt, Rwanda, Taiwan, Mali, Namibia"
80,"Sao Tome and Principe, Kiribati"
81,"Spain, Uruguay, Rwanda"
82,"Mali, Qatar, United Kingdom, Syria, Dominica"
83,"Belarus, Malawi, Chad, France"
84,"Iran, Lesotho, Uganda, Mozambique"
85,"Netherlands, Georgia, Trinidad and Tobago"
86,"Kazakhstan, Morocco, India, South Africa"
87,"Turkmenistan, Iraq, Kazakhstan, Liberia, Canada"
88,"Switzerland, Iceland, Thailand, Oman, Sweden"
89,"Tuvalu, Maldives, Vatican City, Sudan"
90,"Palau, Nauru, Sweden, Estonia, Taiwan"
91,"Rwanda, Jordan, Suriname, Tonga, Andorra"
92,"Panama, Kuwait, Fiji, Angola"
93,Canada
94,"Italy, Libya"
95,"Cambodia, Finland, Turkey"
96,"Cameroon, Haiti, New Zealand, Bosnia and Herzegovina"
97,"Saudi Arabia, Vanuatu"
98,"Saint Lucia, Saudi Arabia, Malta, Myanmar (Burma)"
99,"Malawi, Senegal, Norway, Mali"
100,"Belarus, Zambia, Chad, Tanzania, Argentina"
101,"Belarus, Denmark, Libya, Korea, South, Colombia"
102,Finland
103,"Armenia, Ukraine, Liberia"
104,"Niger, Oman, Tunisia, San Marino"
105,Egypt
106,Samoa
107,"Sierra Leone, Saint Lucia, Czech Republic, North Macedonia, Finland"
108,"Canada, Afghanistan, Pakistan"
109,"Bhutan, Cyprus, Chile"
110,"Afghanistan, The Gambia, Italy, Australia, Peru"
111,"Samoa, Brazil, Kuwait"
112,"Equatorial Guinea, Eritrea, Philippines"
113,"Switzerland, Ireland, Mexico, Czech Republic"
114,"Central African Republic, Zimbabwe, Benin, Nicaragua, Sweden"
115,"Venezuela, Japan, Qatar"
116,"The Gambia, Dominican Republic"
117,Papua New Guinea
118,Mongolia
119,"Barbados, Nauru, Jordan, Korea, North"
120,"Argentina, Slovenia, Maldives, Sierra Leone, Dominica"
121,"Jordan, Kazakhstan, Uzbekistan, Mauritius, Georgia"
122,Vanuatu
123,"Cyprus, Paraguay, Panama, East Timor (Timor-Leste)"
124,"Saint Lucia, Liberia"
125,"United Kingdom, Kyrgyzstan, Burundi"
126,Benin
127,Suriname
128,"Lesotho, Haiti, Vatican City, United Kingdom"
129,Malta
130,"Azerbaijan, Belgium, Kyrgyzstan"
131,"Bulgaria, United Arab Emirates, Myanmar (Burma), Philippines"
132,"Taiwan, Moldova"
133,"Kyrgyzstan, Madagascar, Guyana, Turkey"
134,"Belize, Nepal, Guinea"
135,"Uruguay, Austria, Latvia, Mauritania, East Timor (Timor-Leste)"
136,"Serbia, Namibia, Mozambique, Zimbabwe, Tanzania"
137,Denmark
138,"Central African Republic, Portugal, Burkina Faso"
139,Lebanon
140,"Nepal, United States, Niger, Zimbabwe"
141,"Rwanda, Hungary, Cameroon, Liberia, Liechtenstein"
142,"Croatia, Sudan"
143,"Korea, North, Madagascar"
144,"Poland, Algeria, Solomon Islands, Somalia, United States"
145,Czech Republic
146,"Iceland, Tonga, Somalia"
147,"Slovakia, Trinidad and Tobago, El Salvador"
148,Nigeria
149,Libya
150,"Italy, Niger"
151,"Namibia, Comoros, Saint Lucia"
152,"San Marino, Antigua and Barbuda, Armenia, Kosovo, Cuba"
153,"Côte d’Ivoire, North Macedonia, Guyana, Solomon Islands, Bolivia"
154,"Somalia, France, Slovakia, Madagascar, Lithuania"
155,"Bolivia, Côte d’Ivoire, Niger, Nauru, France"
156,"Solomon Islands, Saint Vincent and the Grenadines, Mozambique, Fiji, Antigua and Barbuda"
157,"Uganda, Indonesia, Netherlands, Nauru"
158,"Vatican City, Afghanistan"
159,"Saint Vincent and the Grenadines, Pakistan, Liberia, Brunei"
160,"Romania, Croatia, Moldova, Belarus"
161,Solomon Islands
162,"Romania, Moldova, Tuvalu"
163,"Sao Tome and Principe, Sierra Leone, Andorra, Cabo Verde"
164,"Germany, Croatia, Russia"
165,Maldives
166,"Mongolia, Lithuania, Tonga, Zambia, Sweden"
167,"East Timor (Timor-Leste), Jordan, Zimbabwe"
168,"Denmark, Bosnia and Herzegovina, Korea, North, Andorra, Argentina"
169,Mexico
170,"Iran, Spain, Colombia"
171,"Ethiopia, East Timor (Timor-Leste)"
172,"Moldova, Iceland, Canada"
173,"Sweden, India, Morocco, New Zealand"
174,"Madagascar, East Timor (Timor-Leste), Mozambique, Fiji"
175,"Bangladesh, Palau, Slovakia, Cambodia"
176,"Guatemala, Benin, Czech Republic"
177,"Croatia, Niger, Saudi Arabia, Sao Tome and Principe, Malta"
178,"United States, Egypt, Uruguay, Finland"
179,"Korea, South, Yemen, Korea, North, Slovenia"
180,Lesotho
181,"Moldova, Nepal, Burkina Faso, Saint Vincent and the Grenadines, Malaysia"
182,"Cameroon, United States"
183,"Spain, Liberia"
184,Nauru
185,"Netherlands, Saint Vincent and the Grenadines, Morocco"
186,"Libya, Indonesia"
187,"Liberia, Norway"
188,"Lesotho, Cambodia"
189,"Lesotho, Paraguay, Mexico, Taiwan, Kenya"
190,"Sri Lanka, Saint Lucia, Mozambique, Djibouti"
191,Slovakia
192,"Suriname, Chad"
193,India
194,"Haiti, Colombia"
195,Sri Lanka
196,"Maldives, Tuvalu, Papua New Guinea, Bosnia and Herzegovina"
197,"Ireland, Sierra Leone, Bulgaria"
198,"Belarus, Tajikistan, Estonia, Cuba"
199,"Zimbabwe, Japan, Belize, Poland, United States"
200,"Saint Kitts and Nevis, Slovenia, Qatar, Moldova"
201,"Grenada, Guyana, Syria"
202,"Djibouti, Russia, Benin"
203,"Trinidad and Tobago, Greece, Chile"
204,"Lesotho, Micronesia, Federated States of, Mongolia, Lebanon, Argentina"
205,Morocco
206,"Iceland, Algeria"
207,"Uganda, Romania"
208,"Sao Tome and Principe, Finland, Venezuela"
209,"Madagascar, Malta, North Macedonia"
210,"Oman, Qatar, Zambia, Micronesia, Federated States of, China"
211,"Haiti, Saint Kitts and Nevis"
212,"Guatemala, Costa Rica, United Kingdom, Japan"
213,"Libya, Mozambique, Seychelles"
214,"France, Venezuela, Spain, Pakistan, Tajikistan"
215,"Brunei, Maldives, Philippines"
216,"Greece, Guinea-Bissau"
217,"Liechtenstein, Dominica"
218,Fiji
219,"Bhutan, Benin, Grenada, Mali, Germany"
220,Mauritius
221,"Uganda, Kazakhstan, Sudan, South, Tanzania, Italy"
222,"United Arab Emirates, Lithuania, New Zealand, Cabo Verde"
223,Dominican Republic
224,"Kazakhstan, Cyprus, Tuvalu"
225,"Sierra Leone, Uganda, Chad, Ecuador"
226,Belarus
227,"Jordan, United Arab Emirates"
228,"Liechtenstein, Thailand, France, Cuba, Mexico"
229,"Eritrea, Yemen, France, Kosovo"
230,"Taiwan, Togo, Trinidad and Tobago"
231,Cabo Verde
232,"United Kingdom, Chad"
233,"Bhutan, India"
234,"Burundi, Bahrain, Brazil, Pakistan"
235,"Mozambique, Nauru, Central African Republic, Malaysia"
236,"Samoa, Cameroon, Monaco"
237,"Lithuania, Saint Vincent and the Grenadines"
238,Iran
239,"Thailand, Turkmenistan, Bahrain, Eritrea"
240,"Venezuela, Guatemala, Libya, Cyprus, Belarus"
241,"Denmark, Taiwan, Oman, Moldova, Croatia"
242,"The Gambia, Kosovo, Madagascar"
243,Iceland
244,"Morocco, Austria, Chad, Azerbaijan, Lebanon"
245,"Tajikistan, Guinea, Thailand, Ireland, Netherlands"
246,"Sweden, Russia, Algeria, United Arab Emirates"
247,"Montenegro, Latvia, Russia, Norway, Malta"
248,"Mongolia, Japan, Seychelles, Hungary"
249,"Sudan, Estonia, Tajikistan, Marshall Islands, China"
250,"Germany, Poland, Iraq, Guyana"
251,Philippines
252,"Korea, South, Finland, Ukraine, Solomon Islands, Saudi Arabia"
253,Iran
254,"Cabo Verde, Micronesia, Federated States of, Eritrea, Vatican City"
255,"Malawi, Bhutan, Azerbaijan, Ukraine, Libya"
256,"Bhutan, Iceland"
257,"Denmark, Yemen, Malawi, Argentina"
258,Uzbekistan
259,"Sudan, Ireland, Denmark, Dominican Republic, Portugal"
260,"Oman, Mongolia, Benin"
261,San Marino
262,"Montenegro, New Zealand, Cuba, Congo, Republic of the, Morocco"
263,"Moldova, Paraguay"
264,Bahrain
265,Luxembourg
266,"Laos, Switzerland, Singapore, Latvia"
267,"Andorra, Singapore, United States"
268,"Saint Lucia, Austria, Jamaica, Solomon Islands, Ethiopia"
269,"South Africa, Belgium, Uzbekistan"
270,"Micronesia, Federated States of, Switzerland, Iraq"
271,"Sweden, Georgia, Slovakia"
272,Singapore
273,"The Bahamas, Uruguay, Kenya, Nauru"
274,"Bangladesh, Iraq, Brazil, Nauru, Monaco"
275,"Korea, South"
276,"Lebanon, Comoros, Micronesia, Federated States of"
277,"Australia, Fiji, Honduras"
278,"Korea, North, Pakistan, Sudan, South, Grenada"
279,"Ukraine, Sierra Leone, Madagascar, Korea, South, East Timor (Timor-Leste)"
280,"North Macedonia, Korea, North, United Kingdom, Spain, Brazil"
281,"Tajikistan, Turkmenistan, Lesotho, Thailand, Palau"
282,"Congo, Democratic Republic of the"
283,"Panama, Czech Republic, Tuvalu, Montenegro, Namibia"
284,"Mongolia, Qatar, Ukraine"
285,"Guinea, Luxembourg"
286,San Marino
287,"Haiti, Albania, Barbados"
288,"Zimbabwe, Myanmar (Burma), Montenegro, Micronesia, Federated States of"
289,Pakistan
290,Ethiopia
291,"Nicaragua, Equatorial Guinea"
292,"Libya, Luxembourg"
293,"Equatorial Guinea, Liechtenstein, Saint Lucia, Bolivia"
294,"Ecuador, Papua New Guinea"
295,"Saint Lucia, Laos, Barbados"
296,"Sweden, India, Tonga"
297,"Korea, South, Liechtenstein, Chile"
298,"Kazakhstan, El Salvador, Uzbekistan, Bahrain, Morocco"
299,"Sudan, South, Senegal, Malaysia, Iran"
300,"Morocco, Ecuador, Vanuatu, Georgia, Uzbekistan"
301,"Argentina, Namibia, Venezuela, Cuba, Cabo Verde"
302,"Mozambique, Switzerland"
303,"United Arab Emirates, Niger, China, Spain, Australia"
304,Vatican City
305,"Iran, Lebanon, Korea, North, Tuvalu, Tonga"
306,"Austria, Pakistan"
307,"Russia, New Zealand, Austria"
308,Niger
309,Indonesia
310,"Slovakia, Romania, The Gambia, Estonia"
311,"Fiji, Bosnia and Herzegovina"
312,"Lithuania, Spain, Seychelles"
313,"Iraq, Egypt, Cameroon"
314,"Ghana, Haiti, Djibouti"
315,"Burundi, Angola"
316,"Palau, Qatar, The Bahamas"
317,"Chile, Botswana, Thailand, San Marino"
318,Tajikistan
319,Namibia
320,"Serbia, Estonia, Jamaica, Georgia, Guinea-Bissau"
321,Burkina Faso
322,"Grenada, Brazil, Mexico, Mauritania, Liechtenstein"
323,"Philippines, Congo, Democratic Republic of the, Guatemala, Zambia, China"
324,"Andorra, Trinidad and Tobago, Chad"
325,"Greece, Thailand, Somalia, China, Latvia"
326,"Dominica, Tuvalu"
327,Azerbaijan
328,"Afghanistan, Liechtenstein, Iran"
329,"China, Sweden, Paraguay, Poland, Venezuela"
330,"Laos, Mozambique, Tanzania, Germany"
331,"Yemen, Maldives"
332,"Italy, Costa Rica, Cabo Verde, Iran, Sudan, South"
333,"Belarus, Lithuania, Côte d’Ivoire, Gabon, Kosovo"
334,"Algeria, Senegal, Benin"
335,"Suriname, Chile, Mongolia, Moldova, Lebanon"
336,Solomon Islands
337,"Guatemala, Micronesia, Federated States of"
338,"Algeria, Belgium, Grenada, Malta"
339,Cabo Verde
340,"Indonesia, Brazil, Mexico, Estonia"
341,"Bahrain, Algeria, Belgium"
342,"North Macedonia, Jamaica, Vatican City, Burundi"
343,"Somalia, Kiribati"
344,Colombia
345,"Korea, South, Argentina, Tanzania, United States"
346,"Congo, Democratic Republic of the, Saudi Arabia, United Arab Emirates, Cyprus, Sudan"
347,"Suriname, Moldova, Botswana"
348,France
349,"Fiji, Comoros, Senegal"
350,"Congo, Democratic Republic of the"
351,"Nicaragua, Kuwait"
352,"Lesotho, Côte d’Ivoire"
353,"Somalia, Romania, Tanzania"
354,Liechtenstein
355,"Gabon, Bulgaria, Guyana, Comoros"
356,"Lesotho, Central African Republic, Korea, South, Marshall Islands, Ethiopia"
357,"Chile, Romania, Russia, Tanzania, Monaco"
358,"Trinidad and Tobago, Ghana, Dominican Republic"
359,"Kenya, Russia"
360,"Yemen, Kiribati"
361,"Congo, Democratic Republic of the, Poland"
362,"Eritrea, France, Chad"
363,"Kyrgyzstan, Germany, Vatican City, Kuwait"
364,"Mongolia, Brazil, Thailand, Malta, Portugal"
365,"San Marino, South Africa, Liechtenstein, Congo, Democratic Republic of the, Uzbekistan"
366,"The Gambia, Greece"
367,"Algeria, Vietnam"
368,"Tuvalu, Turkey, Sweden, Libya"
369,Central African Republic
370,Afghanistan
371,"Vietnam, Norway"
372,"Canada, Tunisia, Sri Lanka, Djibouti"
373,"Guatemala, Andorra, Burkina Faso"
374,"Poland, Eswatini, Argentina, Qatar, United Arab Emirates"
375,"Mongolia, Saint Lucia, Bulgaria, Liechtenstein"
376,"Croatia, Burundi"
377,"Mauritius, Croatia"
378,"Brunei, Saint Kitts and Nevis, Marshall Islands"
379,Lebanon
380,"Sao Tome and Principe, India, Sudan"
381,Bangladesh
382,"Saudi Arabia, Grenada, Djibouti, Singapore, Cameroon"
383,"Finland, Costa Rica, Afghanistan, Sudan, Brunei"
384,"Qatar, Latvia"
385,"Solomon Islands, Yemen"
386,"Argentina, Syria, Yemen, Hungary"
387,Mauritania
388,"Bolivia, Solomon Islands, Rwanda, Kiribati"
389,"Turkmenistan, North Macedonia, East Timor (Timor-Leste)"
390,Venezuela
391,"San Marino, Tunisia"
392,"Bhutan, Côte d’Ivoire"
393,"Saudi Arabia, Haiti, Brunei"
394,"Spain, Suriname, Samoa, Tonga"
395,Nigeria
396,"Paraguay, Cuba"
397,"Dominican Republic, Norway"
398,"Finland, Taiwan, Myanmar (Burma)"
399,"Mali, Romania, Malta, Australia, Moldova"
400,"Papua New Guinea, Guinea-Bissau, Guyana, Cameroon, Belgium"
401,"Greece, Guinea-Bissau, Palau, Germany, Uganda"
402,"Eritrea, Yemen, Myanmar (Burma)"
403,"Korea, North, Guinea"
404,Serbia
405,"El Salvador, Austria"
406,"Finland, Gabon, Estonia, Jamaica"
407,"New Zealand, Lithuania, Marshall Islands, Italy"
408,"Mozambique, Moldova, Montenegro"
409,"Japan, Ethiopia"
410,"Qatar, Romania"
411,"Greece, Japan"
412,"Tuvalu, Haiti, Ukraine, Belize"
413,"Tonga, Guatemala, Angola, Chad, Ukraine"
414,"Norway, Barbados"
415,"Tonga, United States, Monaco, Burkina Faso"
416,"Latvia, Georgia, Cuba"
417,"Tunisia, Germany, Bolivia, Barbados"
418,"Uzbekistan, Côte d’Ivoire, Cameroon, Georgia, Suriname"
419,"Slovenia, Kiribati, Cyprus, Paraguay"
420,"Haiti, Jamaica, Croatia"
421,"Malaysia, Yemen, Libya, Suriname, Cabo Verde"
422,"Eswatini, Botswana, Sao Tome and Principe"
423,"Slovenia, Eritrea, Nepal, North Macedonia, Laos"
424,"Sao Tome and Principe, Burundi, Sweden, Yemen"
425,"Sudan, Zambia"
426,"Sudan, Bahrain, Azerbaijan, Saint Lucia"
427,"Solomon Islands, Libya, Lesotho, Portugal"
428,"Bhutan, Central African Republic, Brunei"
429,"Slovenia, Maldives, Fiji"
430,"Nigeria, Brunei, El Salvador"
431,"Suriname, China, Netherlands, Belgium"
432,"Barbados, Eswatini, Qatar, Togo, Malaysia"
433,"Turkmenistan, Russia"
434,"The Bahamas, Burkina Faso"
435,"Papua New Guinea, Algeria, Belgium"
436,"Sierra Leone, Slovenia, Comoros"
437,"Yemen, Sudan, South"
438,"Russia, Seychelles, Yemen"
439,"Spain, Sudan, South, Micronesia, Federated States of"
440,"Uruguay, Korea, South, Kyrgyzstan"
441,Mozambique
442,Angola
443,"Tunisia, Liberia"
444,"United States, Greece, Tanzania, Belgium, South Africa"
445,"Hungary, Mongolia"
446,"United Kingdom, Uruguay"
447,"Greece, Sri Lanka, Libya, Malawi, Jordan"
448,Burkina Faso
449,Poland
450,"Saint Lucia, Brazil, Romania, San Marino, Korea, South"
451,"Namibia, Antigua and Barbuda, Barbados, Saint Lucia"
452,"South Africa, Chad, Kuwait"
453,"Chad, Barbados, Sweden, Poland, Turkmenistan"
454,"Côte d’Ivoire, Botswana, Luxembourg, Mozambique, Tonga"
455,"Angola, Lebanon, Slovenia, Tunisia, Norway"
456,"Kazakhstan, Jamaica, Sweden, Greece, Venezuela"
457,"Azerbaijan, Czech Republic, Andorra"
458,"Togo, Switzerland, Djibouti"
459,"Mexico, Central African Republic"
460,Nigeria
461,"Bolivia, Belgium"
462,"Slovenia, Cameroon, Korea, North, United Arab Emirates"
463,"Korea, South"
464,"Jamaica, The Bahamas, Kosovo"
465,"Malaysia, Vietnam"
466,"Kazakhstan, Niger, El Salvador, Mauritania, Iraq"
467,"Singapore, Tuvalu, Congo, Republic of the, Kuwait, Andorra"
468,"Guatemala, Mexico"
469,"Iraq, Seychelles, Libya, Zambia"
470,"Denmark, Cambodia, Iran, Costa Rica, Taiwan"
471,"Sweden, New Zealand"
472,"Rwanda, Gabon, Libya, United Kingdom, Saint Lucia"
473,"Austria, Tajikistan, The Bahamas"
474,"Eswatini, Congo, Republic of the"
475,Marshall Islands
476,"Belarus, Qatar"
477,"Belgium, Bangladesh"
478,"Niger, Brazil, Congo, Democratic Republic of the"
479,"Ecuador, Australia"
480,"Jamaica, Côte d’Ivoire, Egypt, Sao Tome and Principe, Sweden"
481,"Libya, Equatorial Guinea"
482,"Niger, East Timor (Timor-Leste), Grenada, Italy, Tuvalu"
483,"Antigua and Barbuda, Bangladesh, Micronesia, Federated States of, Pakistan"
484,"Canada, Liechtenstein, Morocco, Turkey"
485,"Suriname, Honduras, Estonia, The Bahamas, Romania"
486,"United Kingdom, Cabo Verde, Angola, Singapore, Belarus"
487,"Angola, Madagascar, Sweden"
488,Benin
489,"Cameroon, Djibouti, North Macedonia"
490,"El Salvador, Seychelles, Mongolia, Micronesia, Federated States of"
491,"Guatemala, Denmark"
492,Sierra Leone
493,"Nepal, Belarus, Bolivia, Libya, Iran"
494,"Belgium, Guyana, Paraguay, Angola"
495,"Micronesia, Federated States of, Barbados, United Arab Emirates"
496,"Sudan, Vatican City, Turkmenistan, Mongolia"
497,"Sudan, Congo, Democratic Republic of the, Ireland, Chile, Panama"
498,"Mauritius, Iran, Sao Tome and Principe, Burundi, Saudi Arabia"
499,"Honduras, Togo, Pakistan, Ghana"
500,"Germany, Eritrea, Cyprus, Argentina, Kosovo"
501,El Salvador
502,"Seychelles, Fiji, Costa Rica, Turkey, Finland"
503,"Cabo Verde, Somalia, Bahrain, China"
504,Egypt
505,"Syria, Ukraine, Afghanistan"
506,"Kenya, Tanzania"
