userProfileID,languageID,userID
1,16,1
2,14,2
3,16,3
4,7,4
5,14,5
6,5,6
7,7,7
8,3,8
9,7,9
10,5,10
11,13,11
12,14,12
13,8,13
14,10,14
15,8,15
16,2,16
17,1,17
18,17,18
19,19,19
20,15,20
21,19,21
22,20,22
23,3,23
24,10,24
25,5,25
26,19,26
27,17,27
28,18,28
29,20,29
30,2,30
31,11,31
32,18,32
33,5,33
34,16,34
35,19,35
36,6,36
37,3,37
38,3,38
39,10,39
40,8,40
41,10,41
42,10,42
43,5,43
44,7,44
45,17,45
46,8,46
47,17,47
48,18,48
49,13,49
50,5,50
51,2,51
52,8,52
53,8,53
54,17,54
55,13,55
56,5,56
57,8,57
58,17,58
59,12,59
60,19,60
61,5,61
62,20,62
63,4,63
64,12,64
65,16,65
66,7,66
67,19,67
68,19,68
69,10,69
70,16,70
71,5,71
72,13,72
73,2,73
74,16,74
75,11,75
76,18,76
77,17,77
78,12,78
79,9,79
80,18,80
81,7,81
82,1,82
83,12,83
84,2,84
85,8,85
86,4,86
87,10,87
88,17,88
89,7,89
90,14,90
91,18,91
92,8,92
93,20,93
94,13,94
95,16,95
96,2,96
97,9,97
98,8,98
99,20,99
100,1,100
101,1,101
102,16,102
103,15,103
104,14,104
105,7,105
106,14,106
107,19,107
108,4,108
109,17,109
110,4,110
111,11,111
112,11,112
113,20,113
114,18,114
115,10,115
116,8,116
117,5,117
118,7,118
119,17,119
120,18,120
121,11,121
122,19,122
123,11,123
124,1,124
125,4,125
126,17,126
127,17,127
128,15,128
129,2,129
130,11,130
131,12,131
132,17,132
133,18,133
134,6,134
135,19,135
136,8,136
137,2,137
138,13,138
139,18,139
140,18,140
141,5,141
142,11,142
143,4,143
144,15,144
145,3,145
146,1,146
147,15,147
148,7,148
149,9,149
150,7,150
151,13,151
152,14,152
153,4,153
154,20,154
155,14,155
156,7,156
157,7,157
158,1,158
159,14,159
160,8,160
161,4,161
162,1,162
163,2,163
164,16,164
165,2,165
166,3,166
167,14,167
168,7,168
169,20,169
170,4,170
171,15,171
172,15,172
173,7,173
174,12,174
175,17,175
176,11,176
177,10,177
178,3,178
179,17,179
180,14,180
181,7,181
182,2,182
183,20,183
184,1,184
185,6,185
186,18,186
187,5,187
188,13,188
189,1,189
190,15,190
191,5,191
192,3,192
193,4,193
194,3,194
195,8,195
196,3,196
197,1,197
198,15,198
199,4,199
200,5,200
201,9,201
202,10,202
203,7,203
204,18,204
205,17,205
206,20,206
207,6,207
208,20,208
209,18,209
210,4,210
211,20,211
212,17,212
213,10,213
214,15,214
215,17,215
216,15,216
217,5,217
218,5,218
219,2,219
220,8,220
221,5,221
222,17,222
223,20,223
224,18,224
225,12,225
226,12,226
227,6,227
228,10,228
229,15,229
230,5,230
231,1,231
232,15,232
233,3,233
234,17,234
235,6,235
236,20,236
237,17,237
238,10,238
239,4,239
240,17,240
241,10,241
242,2,242
243,10,243
244,17,244
245,5,245
246,9,246
247,3,247
248,1,248
249,2,249
250,11,250
251,3,251
252,15,252
253,16,253
254,15,254
255,10,255
256,7,256
257,11,257
258,5,258
259,20,259
260,13,260
261,14,261
262,12,262
263,4,263
264,13,264
265,20,265
266,10,266
267,15,267
268,7,268
269,3,269
270,10,270
271,1,271
272,5,272
273,13,273
274,20,274
275,18,275
276,1,276
277,16,277
278,7,278
279,5,279
280,17,280
281,2,281
282,8,282
283,8,283
284,7,284
285,7,285
286,17,286
287,19,287
288,20,288
289,1,289
290,2,290
291,9,291
292,5,292
293,19,293
294,17,294
295,4,295
296,2,296
297,18,297
298,1,298
299,20,299
300,10,300
301,20,301
302,3,302
303,4,303
304,20,304
305,13,305
306,13,306
307,4,307
308,10,308
309,14,309
310,14,310
311,20,311
312,19,312
313,15,313
314,9,314
315,4,315
316,18,316
317,7,317
318,18,318
319,11,319
320,17,320
321,19,321
322,18,322
323,15,323
324,20,324
325,7,325
326,1,326
327,7,327
328,18,328
329,8,329
330,18,330
331,3,331
332,17,332
333,13,333
334,5,334
335,14,335
336,6,336
337,6,337
338,7,338
339,10,339
340,16,340
341,5,341
342,2,342
343,6,343
344,12,344
345,1,345
346,11,346
347,12,347
348,4,348
349,13,349
350,12,350
351,12,351
352,8,352
353,4,353
354,17,354
355,18,355
356,19,356
357,6,357
358,10,358
359,10,359
360,11,360
361,5,361
362,20,362
363,17,363
364,6,364
365,14,365
366,10,366
367,1,367
368,1,368
369,17,369
370,4,370
371,6,371
372,11,372
373,17,373
374,18,374
375,17,375
376,16,376
377,5,377
378,10,378
379,3,379
380,2,380
381,14,381
382,11,382
383,7,383
384,3,384
385,10,385
386,14,386
387,3,387
388,9,388
389,12,389
390,18,390
391,8,391
392,6,392
393,20,393
394,3,394
395,6,395
396,10,396
397,7,397
398,1,398
399,7,399
400,12,400
401,8,401
402,1,402
403,3,403
404,2,404
405,18,405
406,6,406
407,1,407
408,14,408
409,17,409
410,8,410
411,12,411
412,3,412
413,5,413
414,13,414
415,14,415
416,9,416
417,3,417
418,14,418
419,10,419
420,1,420
421,6,421
422,13,422
423,18,423
424,5,424
425,9,425
426,8,426
427,2,427
428,7,428
429,18,429
430,4,430
431,17,431
432,7,432
433,7,433
434,12,434
435,8,435
436,11,436
437,19,437
438,9,438
439,10,439
440,11,440
441,1,441
442,14,442
443,20,443
444,4,444
445,3,445
446,10,446
447,9,447
448,14,448
449,3,449
450,19,450
451,9,451
452,11,452
453,20,453
454,2,454
455,19,455
456,15,456
457,3,457
458,17,458
459,10,459
460,11,460
461,18,461
462,3,462
463,3,463
464,12,464
465,19,465
466,1,466
467,4,467
468,6,468
469,1,469
470,14,470
471,4,471
472,6,472
473,2,473
474,6,474
475,7,475
476,1,476
477,18,477
478,7,478
479,6,479
480,16,480
481,17,481
482,18,482
483,4,483
484,3,484
485,4,485
486,19,486
487,6,487
488,13,488
489,18,489
490,7,490
491,15,491
492,12,492
493,19,493
494,1,494
495,1,495
496,12,496
497,3,497
498,1,498
499,20,499
500,2,500
